threads, execTime
1, 3.985689700
2, 1.969148500
4, 2.406517100
8, 2.319153300
16, 2.347969900
32, 4.670849700
64, 3.841177300
128, 3.651355500
256, 2.867922600
512, 3.339950400
1024, 3.658026400
